SNR,BER,FER,CFO,MOD,CODERATE,Classe
6,0,0,-0.556460181714916,2,0.666666666666667,0
19,0.00255486074923282,0.777777777777778,3.31017902208121,64,0.75,1
12,0,0,10.698179748718,16,0.5,1
19,0,0,6.41592721240243,2,0.666666666666667,2
14,0.5,1,0,64,0.5,0
12,0,0,0.61199590858391,2,0.666666666666667,1
7,0,0,3.77088991301777,4,0.5,1
25,0,0,6.95543326018791,2,0.5,2
3,0.5,1,0,2,0.666666666666667,0
15,0.00248169443215883,0.111111111111111,-4.66791725221094,4,0.666666666666667,1
15,0,0,4.63402331125443,2,0.75,2
8,0.439770975556045,1,5.13708242100655,16,0.666666666666667,0
12,0.0885226680562793,1,5.30190720606474,64,0.75,0
22,0.471118604310218,1,7.52164902360472,64,0.666666666666667,0
4,0.00486784932536182,1,14.4866135584156,16,0.5,0
20,0,0,8.95548995749875,64,0.666666666666667,2
5,0.475990538143111,1,-11.7513637587515,4,0.5,0
1,0.5,1,0,64,0.5,0
3,0.5,1,0,16,0.666666666666667,0
15,0.185351855475119,1,-1.30797338943102,64,0.5,0
18,0,0,3.38183952698259,16,0.5,2
19,0,0,5.86866780195073,4,0.5,2
6,0.000171998624011008,0.111111111111111,-3.00358581575987,4,0.666666666666667,0
20,0.00485880127828866,1,9.42883266847532,16,0.75,1
7,0.498471434161612,1,1.55348040620974,64,0.5,0
19,0,0,10.9673582078679,16,0.666666666666667,2
3,0.409400694719254,1,-9.0227635992844,2,0.75,0
6,0.5,1,0,2,0.5,0
9,0,0,-3.31804013927885,2,0.5,1
4,0.337746472749408,1,10.660325487612,16,0.75,0
2,0.5,1,0,2,0.75,0
14,0,0,2.19236834769842,64,0.5,1
20,0,0,6.40237346518113,2,0.5,2
2,0.5,1,0,2,0.5,0
11,0,0,8.25003742317097,16,0.5,1
9,0.5,1,0,4,0.5,0
14,0.0796987814041622,0.888888888888889,1.23991829774843,16,0.5,0
22,0,0,8.88254971962392,2,0.5,2
3,0.5,1,1.43342195040103,64,0.5,0
12,0,0,0.610417800880127,4,0.5,1
25,0.00307672165488348,0.444444444444444,1.31448546139544,4,0.75,1
22,0.180548317989694,1,9.30762918454811,64,0.75,0
2,0.5,1,0,4,0.75,0
21,0.113919286665509,1,15.4862268640218,64,0.75,0
5,0.14892715059023,1,6.22513517293649,16,0.75,0
8,0,0,0.320402050330853,4,0.666666666666667,1
17,0,0,-4.87654248898955,4,0.666666666666667,2
16,0.000743383883437407,0.111111111111111,2.04254637252999,2,0.666666666666667,2
23,0,0,6.37130982494156,16,0.5,2
10,0.144078223611835,1,7.65974295808538,64,0.75,0
0,0.5,1,0,16,0.75,0
10,0,0,17.0802803008891,2,0.75,1
13,0.00118717847249703,0.333333333333333,2.04037059678538,2,0.75,1
16,0.250183257586864,1,7.71018603116363,64,0.666666666666667,0
19,0.00528944083054077,0.777777777777778,2.42405733000419,4,0.5,1
10,0,0,2.21065649313838,2,0.75,1
23,0.153508771929825,1,8.78826813256871,64,0.75,0
1,0.5,1,0,16,0.75,0
3,0.5,1,-0.553089112815642,4,0.666666666666667,0
19,0,0,-0.239851674581276,16,0.666666666666667,2
15,0.000271745037935607,0.444444444444444,-4.71627528593541,64,0.5,2
21,0,0,-0.595374264838326,4,0.5,2
25,0,0,7.61329643294578,16,0.5,2
9,0,0,11.2316956684143,2,0.75,1
6,0.165332875098193,1,-5.24267420425488,4,0.75,0
7,0.5,1,0,4,0.666666666666667,0
15,0.000863902179691653,0.444444444444444,1.70402886094807,2,0.5,2
21,0.00175149093856754,0.888888888888889,4.44891117634492,64,0.75,1
21,0,0,6.01054397827224,64,0.5,2
4,0.5,1,0,16,0.666666666666667,0
19,0.00865612877077181,1,-0.685348821041748,64,0.75,1
16,0,0,10.35038863612,64,0.5,2
17,0,0,-2.27898909314086,4,0.75,2
19,0.222793826671943,0.555555555555556,2.26692032959015,2,0.75,0
20,4.07239081920214e-05,0.111111111111111,10.2472482261818,64,0.666666666666667,2
5,0.000296794618124258,0.25,5.4591350198398,2,0.75,0
9,0,0,8.90020416821353,4,0.5,1
19,0.0291418923878734,1,-1.95014091081399,16,0.666666666666667,1
1,0.5,1,0,64,0.666666666666667,0
24,0,0,-0.339773780565771,2,0.5,2
23,0,0,7.14034841506553,16,0.5,2
13,0.00026581605528974,0.111111111111111,-1.69752462926657,2,0.5,1
15,0.485539343408025,1,7.3094148616701,64,0.75,0
14,0.475247524752475,1,0.337895476383995,64,0.75,0
24,0,0,10.037134328306,2,0.75,2
1,0.5,1,0,4,0.5,0
5,0.5,1,0,2,0.75,0
2,0.5,1,0,16,0.666666666666667,0
19,0,0,-0.449256796098535,2,0.75,2
24,0,0,1.47163871445252,16,0.5,2
16,0,0,10.3840431079319,64,0.5,2
18,0,0,9.82376921827058,2,0.75,2
23,0.495534421863239,1,4.8701622797768,64,0.75,0
4,0.124483104553574,1,8.41040731103609,16,0.666666666666667,0
15,0,0,11.6903683821017,16,0.666666666666667,2
2,0.496764808059753,1,1.57062611662954,64,0.75,0
11,0.488971965661601,1,4.12135265805671,64,0.666666666666667,0
10,0.0273375508163221,1,-0.792972814314481,64,0.5,1
20,0,0,5.55940568514446,2,0.75,2
13,0.00303390054082575,0.666666666666667,0.526593626189109,2,0.75,1
24,0,0,7.13291004493424,2,0.75,2
6,0.5,1,0,2,0.75,0
23,0.0166752306148915,0.777777777777778,4.89470850651661,16,0.666666666666667,1
15,0,0,4.42853483643121,16,0.5,2
9,0,0,5.35816286056669,2,0.666666666666667,1
22,0,0,9.46141825088789,64,0.75,2
22,0,0,-2.59923274836226,4,0.75,2
3,0.5,1,0,64,0.75,0
16,0.144213144802304,1,12.4182986697763,4,0.75,0
7,0,0,8.87681166119083,2,0.5,1
8,0.00255023523721585,0.444444444444444,9.89761174768235,2,0.75,1
3,0.5,1,0,4,0.75,0
0,0.5,1,0,2,0.666666666666667,0
12,0.118335053319573,1,0.867449677826454,4,0.666666666666667,0
16,0.0397200867336882,1,6.70451629835222,4,0.5,1
0,0.5,1,0,2,0.5,0
25,0.047646972584665,1,2.46789703605693,64,0.666666666666667,1
17,0,0,4.75507832773354,2,0.5,2
23,0,0,8.19966588205706,2,0.5,2
13,0,0,1.72557266896332,2,0.666666666666667,1
20,0,0,2.71210958172885,4,0.75,2
12,0,0,-0.551011762188654,2,0.75,1
5,0.5,1,0,16,0.75,0
17,0.0107047279214987,0.777777777777778,6.06573189144244,2,0.666666666666667,1
5,0.5,1,0,16,0.666666666666667,0
23,0,0,1.48761514696702,4,0.5,2
2,0.5,1,0,2,0.666666666666667,0
6,0.0541730896278353,1,1.99141169018308,16,0.666666666666667,0
19,0.164960107828431,1,-1.12958207344365,64,0.5,0
2,0.5,1,0,2,0.5,0
9,0.49839806300137,1,3.30845801741395,64,0.5,0
19,0.000346912478937457,0.111111111111111,6.4096277198233,2,0.666666666666667,2
13,0.495390053592663,1,3.9152304898259,64,0.666666666666667,0
5,0.498456488184526,1,13.5892782365045,64,0.5,0
18,0.00260588710269397,0.555555555555556,1.24609331798084,16,0.666666666666667,1
4,0.5,1,0,2,0.75,0
3,0.5,1,0,64,0.75,0
15,0,0,11.2564584279206,4,0.75,2
19,0.0346140024175896,1,7.88301123594891,16,0.5,1
